EOB CODE,DESCRIPTION,Rejection Code,Group Code,Reason Code,Remark Code
742,Transferred credit balance from provider number to payee number.,NULL,CR,P12,NULL
743,Transferred credit balance to payee number from provider number.,NULL,CR,P12,NULL
744,History only. Paid under correct claim number for this date/nature of injury.,NULL,CR,P12,NULL
745,Paid under correct provider number for date(s) of service.,NULL,CO,P12,N77
746,Injured worker's accident rejected by L&I State Fund and service not authorized. Contact the injured worker. N578,NULL,PR,"109, A1 N622,","N643,"
747,Balance of job mod costs must be billed to and paid by injured worker's employer.,NULL,NULL,NULL,NULL
748,"Bill paid, but might be adjusted after receipt of utilization review (UR) post discharge report.",NULL,CO,P12,NULL
800,Only the technical portion of the x-ray is payable during the follow-up by the surgeon.,NULL,CO,A1,M144
801,Denied. 908__ not allowed with E/M visit procedure codes. You must use psychotherapy codes instead of E/M codes.,NULL,CO,A1,N56
802,Denied. Procedure code 76140 not payable in conjunction with these services.,NULL,CO,"96, A1",N20
803,Denied. These services are not payable in conjunction with modalities and/or treatment for the same day.,NULL,CO,"96, A1",N20
804,Denied. Time and/or co-signature missing from bill. MA81 EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"16, A1","N443,"
805,Denied. Please refer to the HCPCS section of our current fee schedule for correct procedure code.,NULL,CO,"A1, P12 M67,",M20
806,Denied. This service is not payable in addition to single examiner exams.,NULL,CO,"96, A1",N20
807,Denied. The provider specialty on the L&I record does not include radiology consultations.,NULL,CO,"A1, 15",N95
808,Denied. Revenue code for Medicaid only.,NULL,CO,"96, A1",M50
809,Paid at fee schedule maximum.  Modifier 22 requires unusual circumstances and supporting documentation.,NULL,CO,"P12, 45",M69
810,This patient is a participant in the managed care pilot program.,NULL,NULL,NULL,NULL
811,Portable/mobile x-rays not payable to hospital based providers.,NULL,CO,"5, A1, 171 N95,",M97
812,"Bill physician assistant with PA name, supervising physician name and physician provider number.",NULL,CO,"16 N296,",N297
813,Denied.  Rental fees cannot exceed purchase price.,NULL,CO,"A1, 108",M7
814,Denied.  Lab work is not payable when billed with complex assessment.,NULL,CO,A1,N20
815,Denied. Provider is not a L&I approved Independent Medical Examiner.,NULL,CO,"A1, 185",N31
816,"Denied. Please bill Kaiser / Attn: Kathleen Sharp / 2701 Vaughn #700 / Portland, OR 97210",NW,NULL,OA 109,NULL
817,Free Standing surgical center not payable for this surgical procedure.,NULL,CO,"5, A1, 171",N95
818,Denied. Bill the primary occupational medicine managed care provider.,NULL,OA,109,NULL
819,Denied. Worker's MCPP participation period has ended. Rebill using fee for svc provider #.,NULL,NULL,NULL,NULL
820,Denied. Service included  in Pain Clinic fees and not payable separately. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"B13, A1",N390
821,"Denied. Contact the primary occup. medicine managed care provider at 1-800-443-0996, ext. 0845.",NULL,OA,109,NULL
822,"Mangd care pilot claim.  Only rpt of accdnt, initial ov and dx studies are payable by the dept.",NULL,NULL,NULL,NULL
823,Denied. Pharmacological evaluation is not payable with an E/M procedure code.,NULL,CO,A1,N20
824,"Denied. Managed Care claim, please refer to PB 95-02.  Per WAC 296-20-010 do not bill worker.",NULL,NULL,NULL,NULL
825,Revenue code 452 not allowed. Use 450 to bill 451/ 452 combined charges.,NULL,CO,"16, A1",M50
826,Procedure not authorized. Call 1st Health/EBP for review: 1-,NULL,CO,"15, A1",M62
800,-541-2894. Rebill when auth'd.,NULL,NULL,NULL,NULL
827,Denied. A supplemental medical report (code 1056M) was not requested and/or received.,NULL,CO,A1,N29
828,Denied. Maximum of 11 sympathetic blocks have been billed and paid for this claim. M139,NULL,CO,"35, A1, 45 N362,","N640,"
829,"Denied. Two procedures w/the same descriptions have been billed, the higher value was paid.",NULL,CO,"A1, W2",M86
830,Paid per Board of Industrial Insurance Appeals (BIIA) order or agreement of parties.,NULL,CO,216,N10
831,Denied. Service is payable under a different procedure code. Refer to fee schedule & rebill.,NULL,CO,A1,M67
832,Denied.  These services are not payable during hearing aid warranty period.,NULL,CO,A1,M7
833,Denied.  Bill returned with provider application.  Provider address on file does not match address on bill.,NULL,CO,"A1, 16",N294
834,Please note the provider number. You must use this number when billing for work hardening services.,NULL,CO,16,N77
835,"Denied. Additional views, slices or levels of CT scans are not payable. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code",NULL,CO,P13,NULL
836,Denied. Outpatient dates of service cannot overlap inpatient stay.,NULL,CO,"60, A1",MA133
837,Denied. The date of service does not correspond to the supporting documents date of service.,NULL,CO,A1,M59
838,"Procedure not authorized. Call UR vendor 800-541-2894. Once authorized, Rebill for total denied bill or send adjustment for partial paid bill.",NULL,PI,"A1, 197 N517,",N142
839,Denied for audit. Utilization review (UR) vendor will be contacting you regarding this bill. Do not rebill.,NULL,PI,"137, A1",N35
840,System resource error. Bill not processed. Resubmit.,85,NULL,NULL,NULL
841,System resource error (claimant eligibility). Bill not processed. Resubmit.,85,NULL,NULL,NULL
842,Denied for audit. EBP Health Plans will be contacting you regarding this bill. Do not rebill.,NULL,PI,"137, A1",N35
843,System resource error (provider eligibility). Bill not processed. Resubmit.,85,NULL,NULL,NULL
844,Denied. This must be rebilled on miscellaneous or CMS- 1500 bill form.,70,NULL,NULL,NULL
845,Denied. NDC obsolete or expired for date RX filled. Verify correct NDC used. Rebill if necessary.,77,CO,A1,M119
846,Denied. Prescribing provider number required when generic substitution not allowed.,25,CO,A1,N31
847,Automated multi-channel test(s) paid at maximum allowed for unduplicated tests performed.,NULL,CO,45,M75
848,Denied. Lab tests for service date must all be billed on one ICN. Send adjustment for paid ICN.,NULL,CO,"16, A1",M126
849,System cannot determine pricing method. Submit manual bill.,M5,NULL,NULL,NULL
850,"In the future, please list the individual provider number as well as the clinic provider number",NULL,CO,16,N290
851,Denied. Payable only if lab test performed on inpatient basis. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,"A1, 5",M2
852,Denied. Complex fees not payable in conjunction with single examiner examinations.,NULL,CO,A1,N20
853,Microfiche handling payable only once per exam assignment.,NULL,CO,"45, P13",NULL
854,Bill not processed. System error. Submit manual bill.,M5,NULL,NULL,NULL
855,Bill not processed. Provider on review. Submit manual bill.,M5,NULL,NULL,NULL
856,Denied. Surgery CPT for same DOS must be on one bill. Send adjustment to ICN (Internal Control Number) that has paid.,NULL,CO,A1,M51
857,Denied. This Bill was in direct entry suspense file for over 180 days and has become outdated.,NULL,CO,29,NULL
858,System resource error (drug file). Bill not processed. Resubmit.,NULL,NULL,NULL,NULL
859,"Denied. Rebill with a copy of manufacturer's warranty/invoice showing cost, warranty information and serial numbers.",NULL,CO,"A1 M23,",N354
860,Invalid data removed from prior authorization (PA) field. Leave blank if not required.  Invalid data causes delay.,NULL,CO,16,M62
861,Denied. There is no employer/employee relationship.,NULL,PR,"A1, 31",MA89
862,Denied. Travel not authorized on pension claims with or without a treatment order.,NULL,NULL,NULL,NULL
863,Denied. Bill submitted without prior authorization. Call utilization review (UR) vendor 800-541-2894. Rebill when authorized.,NULL,PI,"15, A1",M62
864,Allowed amt. Is $0.00. Immunobiologic is distributed at no cost by Centers for Disease Control.,NULL,CO,P13,NULL
865,Denied. Chart notes required for service billed. No chart notes received.,NULL,CO,A1,N29
866,Denied. Call utilization review (UR) vendor 800-541-2894 to be reviewed. Rebill when authorized.,NULL,PI,"15, A1",M62
867,Decision made by L&I Office of the Medical Director to pay for noncovered services. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,PI,137,N11
868,"Denied. 10 digit prior authorization number required, but missing from your bill.",NULL,CO,"16, 15, A1",M62
869,Item paid. Your -99 modifier was for payment and information modifiers. Changed to payment modifier only.,NULL,NULL,NULL,NULL
870,Denied. Date of service on bill does not match the review date or report date.,NULL,CO,"16,  A1",M59
871,Denied. Submit your bill to Department of Energy (509-376- 1416).,41,OA,109,NULL
872,Effective DOS 7/1/00 providers must use 00100-01999 to bill for services paid with base and time units.,NULL,CO,59,M67
873,Procedure 99080 for narrative report only payable every 60 days unless specifically requested by L&I.,NULL,CO,P13,NULL
874,Denied. Prior authorization was not obtained. Claim manager has denied.,NULL,CO,"A1, 197",NULL
875,You cannot use your clinic provider number to bill. Please rebill using the correct provider number.,NULL,CO,16,N290
876,Mileage has been reduced. Mileage over 50 miles one way needs prior approval.,NULL,NULL,NULL,NULL
877,Claim closed during part of date span. Call 1-800-831- 5227 for claim closure informationefore rebilling.,NULL,CO,"A1, 27 N650,",N578
878,Fluoroscopy must be used when performing this procedure.,NULL,CO,P12,NULL
879,Denied. Diagnosis/procedure not authorized on treatment order.,NULL,CO,39,NULL
880,Denied. Only 1 unit of service allowed per claim.,NULL,CO,"B5, 45",N640
881,"Denied. Rebill to Dept. of L & I, Self Ins. Attn: Bankrupt Desk, P.O. Box 44892, Oly, WA 985044892.",NULL,OA,"A1, 109",N643
882,Denied. Type service/procedure code is invalid. Refer to our current fee schedule for valid code.,NULL,CO,"8, P12",NULL
883,Repayment made to provider. L&I has already done an adjustment to cover your account. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CR,P12,NULL
884,"Refund is being returned. Generally accident report, initial visit & necessary tests are payable.",NULL,CR,P12,NULL
885,Ambulatory Surgery Center (ASC) service paid at the lesser;,NULL,CO,"P12, 45",NULL
100,% fee schedule or billed charge.,NULL,NULL,NULL,NULL
886,Ambulatory Surgery Center (ASC) service paid at the lesser; 50% fee schedule or billed charge.,NULL,CO,"P12, 45",NULL
887,Ambulatory Surgery Center (ASC) paid at the lesser; 25% fee schedule or billed charge.,NULL,CO,"P12, 45",NULL
888,Denied. Resubmit bill with required copy of approved pre- job/job modification application form.,NULL,NULL,NULL,NULL
889,Denied. Ambulatory Surgery Center (ASC) procedures for service date must all be billed on 1 ICN. Send adjustment to paid ICN.,NULL,CO,"A1, 16",M51
891,Denied. Fluoroscopy not billed and place of service indicates non-accredited facility.,NULL,CO,5,NULL
893,Denied. The requested medical records have not been received.,NULL,CO,16,M127
894,"Authorized as one-time only, per claim manager.",NULL,CO,P12,N10
895,Per WAC 296-20-1103 travel only allowed from injured worker's home to nearest point of adequate treatment.,NULL,NULL,NULL,NULL
896,Denied. Reimbursement to pickup prescriptions/refills is not an allowed travel expense.,NULL,NULL,NULL,NULL
897,Denied per provider request.,NULL,OA,A1,NULL
898,Too many exceptions for your bill to process. Break this billing down to 7 line items each bill,NULL,NULL,NULL,NULL
899,Too many errors for bill payment. Refer to Fee Schedule/Bill Instruction packet and resubmit.,MZ,CO,16,MA130
900,Payment has been made to a payee holding a lien.,NULL,OA,100,NULL
901,Payment is received as the result of a lien. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,OA,P12,NULL
902,"Service(s) covered, but patient has received funds from third party and is responsible for payment.  Bill him/her this amount.",NULL,PR,201,M86
903,"Action is being taken.  Do not send rebill, adjustment or appeal until you receive notice of payment decision.  After 60 days call L&I 800-848-0811.",87,CO,133,NULL
904,Repayment of adjustment/deduction on bill(s) which refund/returned L&I warrant was received.,NULL,CR,P12,NULL
905,Denied. Submit adjustment with copy of invoice showing your cost for drugs/supplies attached.,NULL,CO,"A1, 16",N29
906,This adjustment is the result of an independent audit of charges for this hospitalization.,NULL,CR,137,N10
907,Flat fee adjusted. After care charges paid to transfer physician.,NULL,CR,"P12, 100",NULL
908,Denied. Service is included in flat fee.,NULL,CO,"A1, B13",M15
909,Service balance was previously paid in this claim or a related claim for this injured worker.,NULL,CO,B13,NULL
910,Bill adjusted. There was an error in your computation.,NULL,CR,129,MA67
911,This service was paid on a diagnostic basis only.,NULL,CO,P12,M17
912,Adjusted charge. Unlisted fee set by L&I allowed.,NULL,CR,P12,NULL
913,Consultation fee paid; treatment fees paid only to the attending physician.,NULL,CO,"B10, P12",NULL
914,Reopening exam and application paid; claim remains closed.,M5,CO,P12,NULL
915,Rebill physician professional fees on CMS-1500 with CPT- 4 service codes.,NULL,CO,"16 N34,",M51
916,Denied. Multiple procedures/diagnoses/dates in a line item cannot be processed. Rebill services,NULL,CO,A1,N63
917,Denied. Wrong diagnosis or procedure code used for the described condition or service billed.,NULL,CO,"11, A1",N56
918,Report/documentation submitted does not justify the code and/or fee billed. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,M69
919,Denied. Multiple claim numbers on one bill cannot be processed. Rebill separately.,NULL,CO,"A1, 16",N61
920,Denied. The procedure code and/or report indicate the service was for an unrelated condition.,NULL,CO,"A1, 96 N578,",N643
921,Denied.  Crime victim claim.  Your bill has been forwarded to the Crime Victim Compensation Program.,NULL,OA,"B11, A1",NULL
922,Denied. Reopening application not received.,NULL,CO,A1,N29
923,Denied. This is a self-insured claims. Submit bill to the employer.,41,OA,"109, A1",N534
924,Bill paid. You must reimburse the injured worker the total amount he/she paid for this service.,NULL,CO,A0,NULL
925,Adjusted in accordance with L&I's published fee schedule.,NULL,CR,"P12, 45",NULL
926,Professional fee adjusted to current L&I rate.,NULL,CR,"P12, 45",NULL
927,Balance paid separately under different claim number or different fund.,NULL,CO,B13,NULL
928,Denied. Attach copy of your receipt to copy of this statement and send to L&I.,NULL,NULL,NULL,NULL
929,Denied. Only payable when you must travel more than 10 miles one way.,NULL,NULL,NULL,NULL
930,Denied. Only authorized travel over 10 miles 1 way to nearest available treatment is payable.,NULL,NULL,NULL,NULL
931,Medical travel expense not payable when residence is over 50 miles from the Washington State border.,NULL,NULL,NULL,NULL
932,Denied. The authorized distance traveled does not justify payment for lodging.,NULL,NULL,NULL,NULL
933,Denied. Emergency room report required.,NULL,CO,A1,N29
934,As many items as possible have been processed on your bill. Rebill unprocessed services.,NULL,NULL,NULL,NULL
935,Denied. This is a duplicate charge.,NULL,CO,18,NULL
936,Processed using the injured worker's name that L&I has listed for this claim number. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,MA36
937,You have used the wrong bill form for this service. Bill on proper bill form in the future.,NULL,CO,16,N34
938,Denied. Justification required for more than one round trip travel on same day.,NULL,NULL,NULL,NULL
939,Denied. Rebill or submit copy of remittance advice (circle number). Attach required reports,ICN,NULL,CO A1,N29
940,Adjusted. Travel expense allowed to the nearest point of available treatment.,NULL,NULL,NULL,NULL
941,Denied. These services were paid by a private insurance carrier whom we have reimbursed directly,NULL,CO,100,NULL
942,Denied. Provider is not the attending physician of record. This service is not authorized.,NULL,CO,243,N450
943,Denied. This injection is paid only in hospital setting for treatment of burns or fractures.,NULL,CO,"5, A1",M77
944,This service paid on a diagnostic basis only. Treatment of the condition is denied.,NULL,CO,P12,NULL
945,Denied. This service is not payable in addition to an extensive or comprehensive office visit.,NULL,CO,A1,N20
946,Denied. Emergency room calls for scheduled drugs for treatment of chronic pain are not covered.,NULL,CO,"A1, 40, 96",N180
947,Bill paid in summary detail. All future bills must show only one date of service per line space,NULL,CO,16,MA31
948,Remainder of bill processed separately due to computer system limitations.,NULL,NULL,NULL,NULL
949,Payment for pharmacy made this time. Future bills must be submitted with code 99070 for pharmacy,NULL,CO,16,M20
950,"Denied. When an injured worker is placed on pension L& cannot pay schedule I,II,III,IV drugs",I,NULL,"PR A1, 27, 96",NULL
951,Time units must be billed as whole units. Please check your Fee Schedule and bill accordingly.,NULL,CO,P12,M53
952,Processing 80 per cent of the interim payment requested. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,NULL,NULL,NULL
953,Denied. Service was prior to approved training plan start date.,NULL,NULL,NULL,NULL
954,Denied. There are no funds approved for this procedure code. Contact vocational counselor.,NULL,NULL,NULL,NULL
955,These services were paid by a hand warrant.,NULL,CO,B13,NULL
956,Reopening examination and application paid. Claim reopening is under consideration.,NULL,CO,133,NULL
957,This is a deduction from the interim payment.,NULL,CR,P12,NULL
958,Adjusted. Mileage allowed based on number of miles by shortest direct route only.,NULL,NULL,NULL,NULL
959,Denied or adjusted. The per diem rate allowed includes lodging and meals for the day.,NULL,NULL,NULL,NULL
960,Denied. Side of body treated disagrees with the side of body accepted as injured in this claim.,NULL,CO,"96, A1",N578
961,Denied. This is not a Washington state industrial injury.,NULL,CO,"A1, 109",N643
962,Adjusted. Remaining balance from this procedure fund paid. Notify the vocational counselor.,NULL,NULL,NULL,NULL
963,This deduction is taken for payment(s) made in error.,NULL,CR,P12,NULL
964,This payment is made for a deduction which was taken in error.,NULL,CR,P12,NULL
965,Denied. Injured worker expired prior to date of this service.,M5,CO,13,NULL
966,"This is a rebill, check for prior payment. If none received, resubmit.",NULL,CO,B13,NULL
967,No payment made because there were no charges listed on your billing.,DU,CO,16,M79
968,Denied. The listed value for this service includes the professional component.,NULL,CO,"A1, 45",M15
969,Denied. Provider tape billing fee is limited to one charge per claim in any 30 day period.,NULL,NULL,NULL,NULL
970,Reopening denied. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,N578
971,Processed under correct claim number for this date/nature of injury. Please note for future bills.,NULL,CO,16,MA86
972,Waiting for signature certifying the delivery of services.,NULL,CO,16,MA81
973,Denied. Excess invalid/missing detail on this bill. See billing instructions. Revise and rebill,NULL,CO,"16, A1",MA130
974,Rebill dental professional fees on L&I Statement for Miscellaneous Service bill form.,NULL,CO,16,N34
975,Denied. L&I is not responsible for 'no show' appointments.,NULL,CO,"A1, 115",N441
976,This fee is payment for medical records.,NULL,CO,P12,NULL
977,Please note the provider number. This is the number you must use when billing physician services,NULL,CO,16,N77
978,Please note the provider number. This is the number you must use when billing pharmacy services,NULL,CO,16,N77
979,Please note the provider number. You must use this number when billing for pain clinic services,NULL,CO,16,N77
980,Please note the claim number. It must be used when billing for this injury for this injured worker.,NULL,CO,16,MA92
981,Note  provider number and name. They must be on all billing sent to L&I.,NULL,CO,16,N77
982,L&I has no provision for payment of provider administrative costs.,NULL,CO,96,NULL
983,Denied. Refill of this drug in less than 30 days must be justified by the attending physician.,NULL,CO,"A1, B5",N584
984,Payment made to correct your account for the refund which you made to L&I in error.,NULL,CR,P12,NULL
985,Denied. This is a Social & Health Services bill sent to us in error.,NULL,OA,109,NULL
986,"NDC number invalid or missing. If equipment, resubmit on Statement for Miscellaneous Services.",NULL,CO,16,M119
987,Denied. Service was not substantiated by attending physician and requires prior authorization. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,A1,N29
988,The date of service is before the reopen date.,NULL,CO,26,NULL
989,Denied. Claim number missing. Resubmit new bill with claim number.,7,CO,"31, 16, A1",MA61
990,Not paid. The provider must bill L&I and return your full payment directly to you.,NULL,NULL,NULL,NULL
991,Denied. Drug quantity is invalid. Resubmit using metric measuring only.,NULL,CO,A1,M49
992,Bill paid. You must reimburse the insurance company the total amount they paid for this service.,NULL,NULL,NULL,NULL
993,Travel expense has been authorized only for the injured worker.,NULL,NULL,NULL,NULL
994,Do not include line items for services which you are crediting and no payment is due.,NULL,NULL,NULL,NULL
995,L&I is not responsible for payment while injured worker is in DNR Forest Camp.,NULL,PR,109,NULL
996,Payment to cancel balance of interim credit in this provider account. Credit transferred.,NULL,CR,P12,NULL
997,Refer to the accompanying explanation of benefits code listed for this service.,NULL,NULL,NULL,NULL
998,This transaction is a refund from this provider.,NULL,CR,P12,NULL
